# of f p t rho h g m mw cp gam pip mach aeat cf ivac isp isp_opt t0 p0 c_star at p0at m_dot 
4.2 19.231 101490.0 358.72 0.73506 -8232.0 -11614.0 21.602 21.602 1.5217 1.3386 28.587 2.9936 4.0 1.4361 134.234142362 122.312869672 131.257771021 902.972069787 3902924.90936 874.486279787 0.000555576324515 2168.372676 2.47959599381 
4.2 19.231 2975000.0 803.15 9.6236 -7510.5 -15080.0 21.602 21.602 1.7353 1.285 1.0 0.0 0.0 0.0 0.0 0.0 0.0 803.15 2975000.0 836.660280131 0.0 0.0 0.0 
4.2 19.231 1624700.0 700.83 6.0231 -7685.4 -14291.0 21.602 21.602 1.6828 1.2966 1.8311 1.0 1.0 0.70809 106.822353661 60.3089944932 103.92266219 804.763089 2973773.3168 834.849230695 0.00147884373849 4397.74604923 5.2677128846 
4.2 19.231 102350.0 358.72 0.74129 -8232.0 -11613.0 21.602 21.602 1.5217 1.3386 28.571 2.9925 4.0 1.436 134.234142362 122.312869672 131.2875021 902.572171815 3929110.61133 874.292617087 0.000551912097009 2168.52367688 2.48031795591 
4.3 18.868 2800000.0 812.08 8.966 -7473.0 -15156.0 21.621 21.621 1.738 1.2841 1.0 0.0 0.0 0.0 0.0 0.0 0.0 812.08 2800000.0 841.137106977 0.0 0.0 0.0 
4.3 18.868 1529600.0 708.9 5.611 -7649.6 -14356.0 21.621 21.621 1.6852 1.2957 1.8305 1.0 1.0 0.70781 107.383234754 60.6077911483 104.286150848 813.710865 2798871.29109 839.313950773 0.00157187854679 4399.4857377 5.24176410227 
4.3 18.868 96454.0 363.34 0.69031 -8202.2 -11640.0 21.621 21.621 1.5216 1.3382 28.982 3.0171 4.0 1.4381 134.958188864 123.138894554 132.587832668 922.628937367 3852159.82321 883.657215617 0.000562115064724 2165.35706835 2.45044914486 
4.3 18.868 2825000.0 812.08 9.046 -7473.0 -15153.0 21.621 21.621 1.738 1.2841 1.0 0.0 0.0 0.0 0.0 0.0 0.0 812.08 2825000.0 841.137106977 0.0 0.0 0.0 
4.3 18.868 1543300.0 708.9 5.6611 -7649.6 -14354.0 21.621 21.621 1.6852 1.2957 1.8305 1.0 1.0 0.70781 107.383234754 60.6077911483 104.313657418 813.710865 2823939.63359 839.313950773 0.0015579248527 4399.4857377 5.24176410227 
4.3 18.868 97315.0 363.34 0.69647 -8202.2 -11638.0 21.621 21.621 1.5216 1.3382 28.965 3.016 4.0 1.438 134.958188864 123.128696716 132.622643406 922.221191067 3879754.37538 883.461932463 0.000558155862458 2165.50764951 2.45116124412 
4.3 18.868 2850000.0 812.08 9.1261 -7473.0 -15150.0 21.621 21.621 1.738 1.2841 1.0 0.0 0.0 0.0 0.0 0.0 0.0 812.08 2850000.0 841.137106977 0.0 0.0 0.0 
4.3 18.868 1556900.0 708.9 5.7112 -7649.6 -14351.0 21.621 21.621 1.6852 1.2957 1.8305 1.0 1.0 0.70781 107.383234754 60.6077911483 104.340484408 813.710865 2848824.99549 839.313950773 0.0015443159003 4399.4857377 5.24176410227 
4.3 18.868 98176.0 363.34 0.70263 -8202.2 -11637.0 21.621 21.621 1.5216 1.3382 28.948 3.0149 4.0 1.4379 134.958188864 123.128696716 132.656234142 921.813593454 3907240.18991 883.266677368 0.000554268011782 2165.65825162 2.4518736041 
4.3 18.868 2875000.0 812.08 9.2061 -7473.0 -15147.0 21.621 21.621 1.738 1.2841 1.0 0.0 0.0 0.0 0.0 0.0 0.0 812.08 2875000.0 841.137106977 0.0 0.0 0.0 
4.3 18.868 1570600.0 708.9 5.7612 -7649.6 -14349.0 21.621 21.621 1.6852 1.2957 1.8305 1.0 1.0 0.70781 107.383234754 60.6077911483 104.367038923 813.710865 2873893.33799 839.313950773 0.00153084517074 4399.4857377 5.24176410227 
4.3 18.868 99037.0 363.34 0.7088 -8202.2 -11636.0 21.621 21.621 1.5216 1.3382 28.931 3.0138 4.0 1.4378 134.958188864 123.118498878 132.688637274 921.406144528 3934617.55026 883.071450351 0.0005504496554 2165.80887467 2.45258622483 
4.3 18.868 2900000.0 812.08 9.2862 -7473.0 -15145.0 21.621 21.621 1.738 1.2841 1.0 0.0 0.0 0.0 0.0 0.0 0.0 812.08 2900000.0 841.137106977 0.0 0.0 0.0 
4.3 18.868 1584200.0 708.9 5.8113 -7649.6 -14347.0 21.621 21.621 1.6852 1.2957 1.8305 1.0 1.0 0.70781 107.383234754 60.6077911483 104.392945344 813.710865 2898778.69989 839.313950773 0.00151770320993 4399.4857377 5.24176410227 
4.3 18.868 99899.0 363.34 0.71496 -8202.2 -11635.0 21.621 21.621 1.5216 1.3382 28.914 3.0127 4.0 1.4378 134.958188864 123.10830104 132.71997628 920.998844288 3961926.39862 882.876251431 0.000546655504611 2165.80887467 2.4531284777 
4.3 18.868 2925000.0 812.08 9.3662 -7473.0 -15142.0 21.621 21.621 1.738 1.2841 1.0 0.0 0.0 0.0 0.0 0.0 0.0 812.08 2925000.0 841.137106977 0.0 0.0 0.0 
4.3 18.868 1597900.0 708.9 5.8614 -7649.6 -14344.0 21.621 21.621 1.6852 1.2957 1.8305 1.0 1.0 0.70781 107.383234754 60.6077911483 104.41859639 813.710865 2923847.04239 839.313950773 0.0015046907974 4399.4857377 5.24176410227 
4.3 18.868 100760.0 363.34 0.72113 -8202.2 -11634.0 21.621 21.621 1.5216 1.3382 28.898 3.0116 4.0 1.4377 134.958188864 123.10830104 132.750095548 920.591692736 3989087.6293 882.681080625 0.000542971155301 2165.95951868 2.45384155865 
4.3 18.868 2950000.0 812.08 9.4463 -7473.0 -15139.0 21.621 21.621 1.738 1.2841 1.0 0.0 0.0 0.0 0.0 0.0 0.0 812.08 2950000.0 841.137106977 0.0 0.0 0.0 
4.3 18.868 1611600.0 708.9 5.9115 -7649.6 -14342.0 21.621 21.621 1.6852 1.2957 1.8305 1.0 1.0 0.70781 107.383234754 60.6077911483 104.443811323 813.710865 2948915.38489 839.313950773 0.0014918996185 4399.4857377 5.24176410227 
4.3 18.868 101620.0 363.34 0.72729 -8202.2 -11632.0 21.621 21.621 1.5216 1.3382 28.882 3.0105 4.0 1.4376 134.958188864 123.098103202 132.779028559 920.18468987 4016101.73197 882.485937953 0.000539356402852 2166.11018364 2.45455490052 
4.3 18.868 2975000.0 812.08 9.5263 -7473.0 -15137.0 21.621 21.621 1.738 1.2841 1.0 0.0 0.0 0.0 0.0 0.0 0.0 812.08 2975000.0 841.137106977 0.0 0.0 0.0 
4.3 18.868 1625200.0 708.9 5.9616 -7649.6 -14340.0 21.621 21.621 1.6852 1.2957 1.8305 1.0 1.0 0.70781 107.383234754 60.6077911483 104.468421739 813.710865 2973800.74679 839.313950773 0.00147941510286 4399.4857377 5.24176410227 
4.3 18.868 102480.0 363.34 0.73345 -8202.2 -11631.0 21.621 21.621 1.5216 1.3382 28.865 3.0094 4.0 1.4375 134.958188864 123.087905364 132.806895614 919.77783569 4043008.6467 882.290823433 0.000535804164389 2166.26086957 2.45526850335 
4.4 18.519 2800000.0 820.67 8.8797 -7436.8 -15210.0 21.64 21.64 1.7405 1.2833 1.0 0.0 0.0 0.0 0.0 0.0 0.0 820.67 2800000.0 845.388887768 0.0 0.0 0.0 
4.4 18.519 1530000.0 716.66 5.5565 -7615.1 -14403.0 21.64 21.64 1.6874 1.2948 1.83 1.0 1.0 0.70755 107.923720171 60.8933306139 104.804250827 822.295684 2798767.42686 843.565884977 0.00157251451241 4401.10239559 5.21725981807 
4.4 18.519 96572.0 367.8 0.68336 -8173.5 -11657.0 21.64 21.64 1.5216 1.3378 28.994 2.7916 4.0 1.4383 135.651641852 123.781358352 123.168064299 851.914124491 2688544.22175 848.8341375 0.00080528932771 2165.05596885 2.5506231114 
4.4 18.519 2825000.0 820.67 8.959 -7436.8 -15207.0 21.64 21.64 1.7405 1.2833 1.0 0.0 0.0 0.0 0.0 0.0 0.0 820.67 2825000.0 845.388887768 0.0 0.0 0.0 
4.4 18.519 1543700.0 716.66 5.6061 -7615.1 -14401.0 21.64 21.64 1.6874 1.2948 1.83 1.0 1.0 0.70755 107.923720171 60.8933306139 104.831890607 822.295684 2823828.28552 843.565884977 0.00155855878991 4401.10239559 5.21725981807 
4.4 18.519 97434.0 367.8 0.68946 -8173.5 -11656.0 21.64 21.64 1.5216 1.3378 28.994 2.7916 4.0 1.4383 135.651641852 123.781358352 123.283512482 851.914124491 2712542.12093 848.8341375 0.00079816492144 2165.05596885 2.5506231114 
4.4 18.519 2850000.0 820.67 9.0383 -7436.8 -15205.0 21.64 21.64 1.7405 1.2833 1.0 0.0 0.0 0.0 0.0 0.0 0.0 820.67 2850000.0 845.388887768 0.0 0.0 0.0 
4.4 18.519 1557400.0 716.66 5.6557 -7615.1 -14398.0 21.64 21.64 1.6874 1.2948 1.83 1.0 1.0 0.70755 107.923720171 60.8933306139 104.859044108 822.295684 2848889.14418 843.565884977 0.00154484859637 4401.10239559 5.21725981807 
4.4 18.519 98296.0 367.8 0.69556 -8173.5 -11655.0 21.64 21.64 1.5216 1.3378 28.994 2.7916 4.0 1.4383 135.651641852 123.781358352 123.396935835 851.914124491 2736540.0201 848.8341375 0.000791165469151 2165.05596885 2.5506231114 
4.4 18.519 2875000.0 820.67 9.1176 -7436.8 -15202.0 21.64 21.64 1.7405 1.2833 1.0 0.0 0.0 0.0 0.0 0.0 0.0 820.67 2875000.0 845.388887768 0.0 0.0 0.0 
4.4 18.519 1571000.0 716.66 5.7053 -7615.1 -14396.0 21.64 21.64 1.6874 1.2948 1.83 1.0 1.0 0.70755 107.923720171 60.8933306139 104.885530995 822.295684 2873767.07686 843.565884977 0.00153147498662 4401.10239559 5.21725981807 
4.4 18.519 99158.0 367.8 0.70166 -8173.5 -11654.0 21.64 21.64 1.5216 1.3378 28.994 2.7916 4.0 1.4383 135.651641852 123.781358352 123.508387165 851.914124491 2760537.91928 848.8341375 0.000784287712092 2165.05596885 2.5506231114 
