# of f p t rho h g m mw cp gam pip mach aeat cf ivac isp isp_opt t0 p0 c_star at p0at m_dot 
2.5 28.571 1336400.0 1364.8 2.0602 -5572.7 -22359.0 17.493 17.493 2.2308 1.2707 1.7985 1.0 1.0 0.69191 166.051397104 92.0660819906 159.925191944 1549.52568 2425060.32033 1296.53409361 0.00185586531539 4500.58533624 3.471243339 
2.5 28.571 87392.0 733.22 0.25076 -6899.3 -15917.0 17.493 17.493 1.9615 1.3198 22.864 2.6634 4.0 1.4297 213.512135427 190.23047114 180.544847358 1564.89865838 1996545.91585 1285.65459425 0.00109092372985 2178.07931734 1.6941403446 
2.5 28.571 2427000.0 1546.9 3.3009 -5160.6 -24186.0 17.493 17.493 2.2945 1.2613 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1546.9 2427000.0 1298.84957984 0.0 0.0 0.0 
2.5 28.571 1337000.0 1364.8 2.061 -5572.7 -22359.0 17.493 17.493 2.2308 1.2707 1.7985 1.0 1.0 0.69191 166.051397104 92.0660819906 159.927671112 1549.52568 2426149.0933 1296.53409361 0.00185503246634 4500.58533624 3.471243339 
2.5 28.571 87428.0 733.23 0.25086 -6899.3 -15917.0 17.493 17.493 1.9615 1.3198 22.864 2.6634 4.0 1.4297 213.512135427 190.23047114 180.557037878 1564.92000121 1997368.36702 1285.6633614 0.00109047452303 2178.07931734 1.69412879197 
2.5 28.571 2428000.0 1546.9 3.3022 -5160.6 -24186.0 17.493 17.493 2.2945 1.2613 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1546.9 2428000.0 1298.84957984 0.0 0.0 0.0 
2.5 28.571 1337500.0 1364.8 2.0619 -5572.7 -22358.0 17.493 17.493 2.2308 1.2707 1.7985 1.0 1.0 0.69191 166.051397104 92.0660819906 159.929735386 1549.52568 2427056.4041 1296.53409361 0.00185433899626 4500.58533624 3.471243339 
2.5 28.571 87464.0 733.23 0.25097 -6899.3 -15917.0 17.493 17.493 1.9615 1.3198 22.863 2.6633 4.0 1.4297 213.512135427 190.23047114 180.560545397 1564.85754912 1997861.74363 1285.63770733 0.00109020522781 2178.07931734 1.69416259723 
3.0 25.0 2421000.0 1791.0 2.9911 -5473.4 -27523.0 18.398 18.398 2.3418 1.2391 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1791.0 2421000.0 1371.40318948 0.0 0.0 0.0 
3.0 25.0 1344400.0 1596.4 1.8634 -5923.2 -25578.0 18.398 18.398 2.2815 1.247 1.7917 1.0 1.0 0.68803 174.658372425 96.4317764634 168.44714298 1793.5554 2420197.8966 1369.27828181 0.00187008072518 4525.96543755 3.3053656789 
3.0 25.0 91686.0 903.6 0.22452 -7410.1 -18535.0 18.398 18.398 1.9933 1.2932 24.235 2.6804 4.0 1.4334 224.026106465 200.897409749 196.168393625 1855.3204715 2189655.20956 1374.82399186 0.0009921457431 2172.45709502 1.58017106763 
3.0 25.0 2422000.0 1791.0 2.9923 -5473.4 -27522.0 18.398 18.398 2.3418 1.2391 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1791.0 2422000.0 1371.40318948 0.0 0.0 0.0 
3.0 25.0 1345000.0 1596.4 1.8642 -5923.2 -25577.0 18.398 18.398 2.2815 1.247 1.7917 1.0 1.0 0.68803 174.658372425 96.4317764634 168.449750901 1793.5554 2421278.02062 1369.27828181 0.00186924648843 4525.96543755 3.3053656789 
3.0 25.0 91724.0 903.6 0.22461 -7410.1 -18534.0 18.398 18.398 1.9933 1.2932 24.235 2.6804 4.0 1.4334 224.026106465 200.897409749 196.179144819 1855.3204715 2190562.72977 1374.82399186 0.000991734710674 2172.45709502 1.58017106763 
3.0 25.0 2423000.0 1791.0 2.9936 -5473.4 -27522.0 18.398 18.398 2.3418 1.2391 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1791.0 2423000.0 1371.40318948 0.0 0.0 0.0 
3.0 25.0 1345600.0 1596.4 1.865 -5923.2 -25577.0 18.398 18.398 2.2815 1.247 1.7917 1.0 1.0 0.68803 174.658372425 96.4317764634 168.452356497 1793.5554 2422358.14464 1369.27828181 0.00186841299564 4525.96543755 3.3053656789 
3.0 25.0 91762.0 903.6 0.2247 -7410.1 -18534.0 18.398 18.398 1.9933 1.2932 24.235 2.6804 4.0 1.4334 224.026106465 200.897409749 196.189887108 1855.3204715 2191470.24998 1374.82399186 0.000991324018677 2172.45709502 1.58017106763 
3.0 25.0 2424000.0 1791.0 2.9948 -5473.4 -27522.0 18.398 18.398 2.3418 1.2391 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1791.0 2424000.0 1371.40318948 0.0 0.0 0.0 
3.0 25.0 1346100.0 1596.4 1.8657 -5923.2 -25577.0 18.398 18.398 2.2815 1.247 1.7917 1.0 1.0 0.68803 174.658372425 96.4317764634 168.454526053 1793.5554 2423258.248 1369.27828181 0.00186771898591 4525.96543755 3.3053656789 
3.0 25.0 91800.0 903.6 0.2248 -7410.1 -18534.0 18.398 18.398 1.9933 1.2932 24.235 2.6804 4.0 1.4334 224.026106465 200.897409749 196.200620504 1855.3204715 2192377.77019 1374.82399186 0.000990913666687 2172.45709502 1.58017106763 
3.0 25.0 2425000.0 1791.0 2.996 -5473.4 -27521.0 18.398 18.398 2.3418 1.2391 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1791.0 2425000.0 1371.40318948 0.0 0.0 0.0 
