# of p t rho h g m mw cp gam pip mach aeat cf ivac isp t0 at p0at m_dot 
60.0 21.087 1168.2 4.8344 -6770.5 -18477.0 0.0 22.268 1.8734 1.2489 1.802 1.0 1.0 0.69302 1329.1 738.08 1313.58249 118.292385315 4493.37681452 4.22097145679 
60.0 1.0218 606.08 0.45151 -7747.2 -13821.0 0.0 22.268 1.5971 1.3051 37.189 2.9083 5.0 1.4841 1723.8 1580.6 1388.10488228 59.2937773022 2098.2413584 1.94748880653 
60.0 40.0 1311.2 8.1704 -6498.1 -19612.0 0.0 22.268 1.9364 1.2389 1.0 0.0 0.0 0.0 0.0 0.0 1311.2 0.0 0.0 0.0 
60.0 22.197 1168.2 5.0889 -6770.5 -18455.0 0.0 22.268 1.8734 1.2489 1.802 1.0 1.0 0.69302 1329.1 738.08 1313.58249 112.376966668 4493.37681452 4.22097145679 
60.0 1.0755 606.08 0.47527 -7747.2 -13809.0 0.0 22.268 1.5971 1.3051 37.189 2.9083 5.0 1.4841 1723.8 1580.6 1388.10488228 56.3332232891 2098.2413584 1.94748880653 
60.0 42.0 1311.2 8.579 -6498.1 -19588.0 0.0 22.268 1.9364 1.2389 1.0 0.0 0.0 0.0 0.0 0.0 1311.2 0.0 0.0 0.0 
60.0 23.307 1168.2 5.3433 -6770.5 -18433.0 0.0 22.268 1.8734 1.2489 1.802 1.0 1.0 0.69302 1329.1 738.08 1313.58249 107.024993742 4493.37681452 4.22097145679 
60.0 1.1293 606.08 0.49904 -7747.2 -13798.0 0.0 22.268 1.5971 1.3051 37.189 2.9083 5.0 1.4841 1723.8 1580.6 1388.10488228 53.6495011489 2098.2413584 1.94748880653 
60.0 44.0 1311.2 8.9875 -6498.1 -19566.0 0.0 22.268 1.9364 1.2389 1.0 0.0 0.0 0.0 0.0 0.0 1311.2 0.0 0.0 0.0 
60.0 24.417 1168.2 5.5977 -6770.5 -18413.0 0.0 22.268 1.8734 1.2489 1.802 1.0 1.0 0.69302 1329.1 738.08 1313.58249 102.159623587 4493.37681452 4.22097145679 
60.0 1.1831 606.08 0.5228 -7747.2 -13788.0 0.0 22.268 1.5971 1.3051 37.189 2.9083 5.0 1.4841 1723.8 1580.6 1388.10488228 51.2098568569 2098.2413584 1.94748880653 
70.0 30.0 1267.8 6.3311 -6515.9 -19254.0 0.0 22.245 1.916 1.2424 1.0 0.0 0.0 0.0 0.0 0.0 1267.8 0.0 0.0 0.0 
70.0 16.627 1127.7 3.9446 -6779.9 -18110.0 0.0 22.245 1.8531 1.2527 1.8043 1.0 1.0 0.69423 1306.7 726.63 1270.184895 149.569470311 4485.54513634 4.28740782127 
70.0 0.79982 579.79 0.36907 -7722.2 -13548.0 0.0 22.245 1.5829 1.3091 37.508 2.9161 5.0 1.484 1692.8 1553.3 1341.77172528 75.0848680155 2098.38274933 1.98206993014 
70.0 32.0 1267.8 6.7532 -6515.9 -19223.0 0.0 22.245 1.916 1.2424 1.0 0.0 0.0 0.0 0.0 0.0 1267.8 0.0 0.0 0.0 
70.0 17.735 1127.7 4.2076 -6779.9 -18083.0 0.0 22.245 1.8531 1.2527 1.8043 1.0 1.0 0.69423 1306.7 726.63 1270.184895 140.225068106 4485.54513634 4.28740782127 
70.0 0.85314 579.79 0.39368 -7722.2 -13534.0 0.0 22.245 1.5829 1.3091 37.508 2.9161 5.0 1.484 1692.8 1553.3 1341.77172528 70.392173777 2098.38274933 1.98206993014 
70.0 34.0 1267.8 7.1752 -6515.9 -19194.0 0.0 22.245 1.916 1.2424 1.0 0.0 0.0 0.0 0.0 0.0 1267.8 0.0 0.0 0.0 
70.0 18.844 1127.7 4.4706 -6779.9 -18058.0 0.0 22.245 1.8531 1.2527 1.8043 1.0 1.0 0.69423 1306.7 726.63 1270.184895 131.972595142 4485.54513634 4.28740782127 
70.0 0.90646 579.79 0.41828 -7722.2 -13521.0 0.0 22.245 1.5829 1.3091 37.508 2.9161 5.0 1.484 1692.8 1553.3 1341.77172528 66.2515490326 2098.38274933 1.98206993014 
70.0 36.0 1267.8 7.5973 -6515.9 -19167.0 0.0 22.245 1.916 1.2424 1.0 0.0 0.0 0.0 0.0 0.0 1267.8 0.0 0.0 0.0 
70.0 19.952 1127.7 4.7335 -6779.9 -18034.0 0.0 22.245 1.8531 1.2527 1.8043 1.0 1.0 0.69423 1306.7 726.63 1270.184895 124.643724081 4485.54513634 4.28740782127 
70.0 0.95979 579.79 0.44289 -7722.2 -13508.0 0.0 22.245 1.5829 1.3091 37.508 2.9161 5.0 1.484 1692.8 1553.3 1341.77172528 62.5703321936 2098.38274933 1.98206993014 
70.0 38.0 1267.8 8.0194 -6515.9 -19142.0 0.0 22.245 1.916 1.2424 1.0 0.0 0.0 0.0 0.0 0.0 1267.8 0.0 0.0 0.0 
70.0 21.06 1127.7 4.9965 -6779.9 -18011.0 0.0 22.245 1.8531 1.2527 1.8043 1.0 1.0 0.69423 1306.7 726.63 1270.184895 118.086020079 4485.54513634 4.28740782127 
70.0 1.0131 579.79 0.46749 -7722.2 -13496.0 0.0 22.245 1.5829 1.3091 37.508 2.9161 5.0 1.484 1692.8 1553.3 1341.77172528 59.2778394395 2098.38274933 1.98206993014 
70.0 40.0 1267.8 8.4415 -6515.9 -19117.0 0.0 22.245 1.916 1.2424 1.0 0.0 0.0 0.0 0.0 0.0 1267.8 0.0 0.0 0.0 
70.0 22.169 1127.7 5.2595 -6779.9 -17989.0 0.0 22.245 1.8531 1.2527 1.8043 1.0 1.0 0.69423 1306.7 726.63 1270.184895 112.178789429 4485.54513634 4.28740782127 
70.0 1.0664 579.79 0.4921 -7722.2 -13485.0 0.0 22.245 1.5829 1.3091 37.508 2.9161 5.0 1.484 1692.8 1553.3 1341.77172528 56.3150592049 2098.38274933 1.98206993014 
70.0 42.0 1267.8 8.8635 -6515.9 -19094.0 0.0 22.245 1.916 1.2424 1.0 0.0 0.0 0.0 0.0 0.0 1267.8 0.0 0.0 0.0 
70.0 23.277 1127.7 5.5225 -6779.9 -17969.0 0.0 22.245 1.8531 1.2527 1.8043 1.0 1.0 0.69423 1306.7 726.63 1270.184895 106.839007727 4485.54513634 4.28740782127 
70.0 1.1197 579.79 0.5167 -7722.2 -13475.0 0.0 22.245 1.5829 1.3091 37.508 2.9161 5.0 1.484 1692.8 1553.3 1341.77172528 53.6343477147 2098.38274933 1.98206993014 
70.0 44.0 1267.8 9.2856 -6515.9 -19072.0 0.0 22.245 1.916 1.2424 1.0 0.0 0.0 0.0 0.0 0.0 1267.8 0.0 0.0 0.0 
70.0 24.386 1127.7 5.7854 -6779.9 -17949.0 0.0 22.245 1.8531 1.2527 1.8043 1.0 1.0 0.69423 1306.7 726.63 1270.184895 101.980299469 4485.54513634 4.28740782127 
70.0 1.1731 579.79 0.54131 -7722.2 -13465.0 0.0 22.245 1.5829 1.3091 37.508 2.9161 5.0 1.484 1692.8 1553.3 1341.77172528 51.1928898953 2098.38274933 1.98206993014 
80.0 30.0 1234.7 6.4954 -6529.3 -18876.0 0.0 22.227 1.9003 1.2451 1.0 0.0 0.0 0.0 0.0 0.0 1234.7 0.0 0.0 0.0 
80.0 16.61 1096.9 4.0481 -6786.9 -17755.0 0.0 22.227 1.8375 1.2556 1.8061 1.0 1.0 0.69517 1289.4 717.77 1237.08382 149.373983463 4479.47983946 4.34032394899 
80.0 0.79458 560.03 0.3793 -7703.0 -13303.0 0.0 22.227 1.5723 1.3122 37.755 2.9222 5.0 1.4839 1668.9 1532.1 1306.53731558 75.0621203751 2098.52415931 2.00961009446 
80.0 32.0 1234.7 6.9285 -6529.3 -18846.0 0.0 22.227 1.9003 1.2451 1.0 0.0 0.0 0.0 0.0 0.0 1234.7 0.0 0.0 0.0 
80.0 17.717 1096.9 4.318 -6786.9 -17729.0 0.0 22.227 1.8375 1.2556 1.8061 1.0 1.0 0.69517 1289.4 717.77 1237.08382 140.040744219 4479.47983946 4.34032394899 
80.0 0.84756 560.03 0.40458 -7703.0 -13290.0 0.0 22.227 1.5723 1.3122 37.755 2.9222 5.0 1.4839 1668.9 1532.1 1306.53731558 70.3700736322 2098.52415931 2.00961009446 
80.0 34.0 1234.7 7.3615 -6529.3 -18818.0 0.0 22.227 1.9003 1.2451 1.0 0.0 0.0 0.0 0.0 0.0 1234.7 0.0 0.0 0.0 
80.0 18.825 1096.9 4.5879 -6786.9 -17704.0 0.0 22.227 1.8375 1.2556 1.8061 1.0 1.0 0.69517 1289.4 717.77 1237.08382 131.798239858 4479.47983946 4.34032394899 
80.0 0.90053 560.03 0.42987 -7703.0 -13277.0 0.0 22.227 1.5723 1.3122 37.755 2.9222 5.0 1.4839 1668.9 1532.1 1306.53731558 66.2308414019 2098.52415931 2.00961009446 
80.0 36.0 1234.7 7.7945 -6529.3 -18792.0 0.0 22.227 1.9003 1.2451 1.0 0.0 0.0 0.0 0.0 0.0 1234.7 0.0 0.0 0.0 
80.0 19.932 1096.9 4.8578 -6786.9 -17681.0 0.0 22.227 1.8375 1.2556 1.8061 1.0 1.0 0.69517 1289.4 717.77 1237.08382 124.478319553 4479.47983946 4.34032394899 
80.0 0.9535 560.03 0.45516 -7703.0 -13265.0 0.0 22.227 1.5723 1.3122 37.755 2.9222 5.0 1.4839 1668.9 1532.1 1306.53731558 62.5515045702 2098.52415931 2.00961009446 
80.0 38.0 1234.7 8.2275 -6529.3 -18767.0 0.0 22.227 1.9003 1.2451 1.0 0.0 0.0 0.0 0.0 0.0 1234.7 0.0 0.0 0.0 
80.0 21.039 1096.9 5.1276 -6786.9 -17658.0 0.0 22.227 1.8375 1.2556 1.8061 1.0 1.0 0.69517 1289.4 717.77 1237.08382 117.928697435 4479.47983946 4.34032394899 
80.0 1.0065 560.03 0.48044 -7703.0 -13254.0 0.0 22.227 1.5723 1.3122 37.755 2.9222 5.0 1.4839 1668.9 1532.1 1306.53731558 59.2576846574 2098.52415931 2.00961009446 
80.0 40.0 1234.7 8.6606 -6529.3 -18743.0 0.0 22.227 1.9003 1.2451 1.0 0.0 0.0 0.0 0.0 0.0 1234.7 0.0 0.0 0.0 
80.0 22.147 1096.9 5.3975 -6786.9 -17637.0 0.0 22.227 1.8375 1.2556 1.8061 1.0 1.0 0.69517 1289.4 717.77 1237.08382 112.028801433 4479.47983946 4.34032394899 
80.0 1.0594 560.03 0.50573 -7703.0 -13243.0 0.0 22.227 1.5723 1.3122 37.755 2.9222 5.0 1.4839 1668.9 1532.1 1306.53731558 56.2987158842 2098.52415931 2.00961009446 
80.0 42.0 1234.7 9.0936 -6529.3 -18720.0 0.0 22.227 1.9003 1.2451 1.0 0.0 0.0 0.0 0.0 0.0 1234.7 0.0 0.0 0.0 
80.0 23.254 1096.9 5.6674 -6786.9 -17617.0 0.0 22.227 1.8375 1.2556 1.8061 1.0 1.0 0.69517 1289.4 717.77 1237.08382 106.695702474 4479.47983946 4.34032394899 
80.0 1.1124 560.03 0.53101 -7703.0 -13233.0 0.0 22.227 1.5723 1.3122 37.755 2.9222 5.0 1.4839 1668.9 1532.1 1306.53731558 53.6163786477 2098.52415931 2.00961009446 
80.0 44.0 1234.7 9.5266 -6529.3 -18699.0 0.0 22.227 1.9003 1.2451 1.0 0.0 0.0 0.0 0.0 0.0 1234.7 0.0 0.0 0.0 
80.0 24.361 1096.9 5.9373 -6786.9 -17598.0 0.0 22.227 1.8375 1.2556 1.8061 1.0 1.0 0.69517 1289.4 717.77 1237.08382 101.847291381 4479.47983946 4.34032394899 
80.0 1.1654 560.03 0.5563 -7703.0 -13223.0 0.0 22.227 1.5723 1.3122 37.755 2.9222 5.0 1.4839 1668.9 1532.1 1306.53731558 51.1780157952 2098.52415931 2.00961009446 
90.0 30.0 1208.7 6.631 -6539.8 -18580.0 0.0 22.214 1.8877 1.2473 1.0 0.0 0.0 0.0 0.0 0.0 1208.7 0.0 0.0 0.0 
90.0 16.597 1072.7 4.1336 -6792.4 -17477.0 0.0 22.214 1.8251 1.258 1.8076 1.0 1.0 0.69593 1275.7 710.7 1211.0783 149.207079211 4474.58796143 4.38357636708 
90.0 0.79045 544.65 0.38774 -7687.9 -13113.0 0.0 22.214 1.5642 1.3146 37.953 2.9271 5.0 1.4838 1649.8 1515.3 1278.69274397 75.034596896 2098.66558835 2.03221913746 
90.0 32.0 1208.7 7.0731 -6539.8 -18551.0 0.0 22.214 1.8877 1.2473 1.0 0.0 0.0 0.0 0.0 0.0 1208.7 0.0 0.0 0.0 
90.0 17.703 1072.7 4.4092 -6792.4 -17452.0 0.0 22.214 1.8251 1.258 1.8076 1.0 1.0 0.69593 1275.7 710.7 1211.0783 139.885324163 4474.58796143 4.38357636708 
90.0 0.84315 544.65 0.41359 -7687.9 -13100.0 0.0 22.214 1.5642 1.3146 37.953 2.9271 5.0 1.4838 1649.8 1515.3 1278.69274397 70.3446564863 2098.66558835 2.03221913746 
90.0 34.0 1208.7 7.5152 -6539.8 -18523.0 0.0 22.214 1.8877 1.2473 1.0 0.0 0.0 0.0 0.0 0.0 1208.7 0.0 0.0 0.0 
90.0 18.81 1072.7 4.6847 -6792.4 -17427.0 0.0 22.214 1.8251 1.258 1.8076 1.0 1.0 0.69593 1275.7 710.7 1211.0783 131.652838579 4474.58796143 4.38357636708 
90.0 0.89585 544.65 0.43944 -7687.9 -13088.0 0.0 22.214 1.5642 1.3146 37.953 2.9271 5.0 1.4838 1649.8 1515.3 1278.69274397 66.2065045671 2098.66558835 2.03221913746 
90.0 36.0 1208.7 7.9573 -6539.8 -18497.0 0.0 22.214 1.8877 1.2473 1.0 0.0 0.0 0.0 0.0 0.0 1208.7 0.0 0.0 0.0 
90.0 19.916 1072.7 4.9603 -6792.4 -17404.0 0.0 22.214 1.8251 1.258 1.8076 1.0 1.0 0.69593 1275.7 710.7 1211.0783 124.341729949 4474.58796143 4.38357636708 
90.0 0.94854 544.65 0.46529 -7687.9 -13076.0 0.0 22.214 1.5642 1.3146 37.953 2.9271 5.0 1.4838 1649.8 1515.3 1278.69274397 62.5288307466 2098.66558835 2.03221913746 
90.0 38.0 1208.7 8.3993 -6539.8 -18473.0 0.0 22.214 1.8877 1.2473 1.0 0.0 0.0 0.0 0.0 0.0 1208.7 0.0 0.0 0.0 
90.0 21.022 1072.7 5.2359 -6792.4 -17383.0 0.0 22.214 1.8251 1.258 1.8076 1.0 1.0 0.69593 1275.7 710.7 1211.0783 117.799918831 4474.58796143 4.38357636708 
90.0 1.0012 544.65 0.49114 -7687.9 -13065.0 0.0 22.214 1.5642 1.3146 37.953 2.9271 5.0 1.4838 1649.8 1515.3 1278.69274397 59.2400091055 2098.66558835 2.03221913746 
90.0 40.0 1208.7 8.8414 -6539.8 -18450.0 0.0 22.214 1.8877 1.2473 1.0 0.0 0.0 0.0 0.0 0.0 1208.7 0.0 0.0 0.0 
90.0 22.129 1072.7 5.5114 -6792.4 -17362.0 0.0 22.214 1.8251 1.258 1.8076 1.0 1.0 0.69593 1275.7 710.7 1211.0783 111.906995059 4474.58796143 4.38357636708 
90.0 1.0539 544.65 0.51699 -7687.9 -13054.0 0.0 22.214 1.5642 1.3146 37.953 2.9271 5.0 1.4838 1649.8 1515.3 1278.69274397 56.2777275988 2098.66558835 2.03221913746 
90.0 42.0 1208.7 9.2835 -6539.8 -18428.0 0.0 22.214 1.8877 1.2473 1.0 0.0 0.0 0.0 0.0 0.0 1208.7 0.0 0.0 0.0 
90.0 23.235 1072.7 5.787 -6792.4 -17342.0 0.0 22.214 1.8251 1.258 1.8076 1.0 1.0 0.69593 1275.7 710.7 1211.0783 106.580154666 4474.58796143 4.38357636708 
90.0 1.1066 544.65 0.54284 -7687.9 -13044.0 0.0 22.214 1.5642 1.3146 37.953 2.9271 5.0 1.4838 1649.8 1515.3 1278.69274397 53.5975936349 2098.66558835 2.03221913746 
90.0 44.0 1208.7 9.7255 -6539.8 -18406.0 0.0 22.214 1.8877 1.2473 1.0 0.0 0.0 0.0 0.0 0.0 1208.7 0.0 0.0 0.0 
90.0 24.342 1072.7 6.0626 -6792.4 -17324.0 0.0 22.214 1.8251 1.258 1.8076 1.0 1.0 0.69593 1275.7 710.7 1211.0783 101.733213937 4474.58796143 4.38357636708 
90.0 1.1593 544.65 0.56869 -7687.9 -13035.0 0.0 22.214 1.5642 1.3146 37.953 2.9271 5.0 1.4838 1649.8 1515.3 1278.69274397 51.1611292301 2098.66558835 2.03221913746 
99.0 30.0 1189.7 6.7343 -6547.5 -18363.0 0.0 22.204 1.8784 1.249 1.0 0.0 0.0 0.0 0.0 0.0 1189.7 0.0 0.0 0.0 
99.0 16.587 1055.0 4.1987 -6796.3 -17274.0 0.0 22.204 1.8161 1.2598 1.8087 1.0 1.0 0.6965 1265.5 705.45 1192.0445 149.084521936 4470.92605887 4.41606617927 
99.0 0.78741 533.45 0.39419 -7676.7 -12975.0 0.0 22.204 1.5583 1.3163 38.099 2.9307 5.0 1.4838 1635.8 1502.8 1258.06220428 75.0087283385 2098.66558835 2.04928248625 
99.0 32.0 1189.7 7.1833 -6547.5 -18334.0 0.0 22.204 1.8784 1.249 1.0 0.0 0.0 0.0 0.0 0.0 1189.7 0.0 0.0 0.0 
99.0 17.693 1055.0 4.4786 -6796.3 -17249.0 0.0 22.204 1.8161 1.2598 1.8087 1.0 1.0 0.6965 1265.5 705.45 1192.0445 139.765159405 4470.92605887 4.41606617927 
99.0 0.83991 533.45 0.42046 -7676.7 -12962.0 0.0 22.204 1.5583 1.3163 38.099 2.9307 5.0 1.4838 1635.8 1502.8 1258.06220428 70.320180473 2098.66558835 2.04928248625 
99.0 34.0 1189.7 7.6322 -6547.5 -18307.0 0.0 22.204 1.8784 1.249 1.0 0.0 0.0 0.0 0.0 0.0 1189.7 0.0 0.0 0.0 
99.0 18.798 1055.0 4.7585 -6796.3 -17225.0 0.0 22.204 1.8161 1.2598 1.8087 1.0 1.0 0.6965 1265.5 705.45 1192.0445 131.549365111 4470.92605887 4.41606617927 
99.0 0.8924 533.45 0.44674 -7676.7 -12950.0 0.0 22.204 1.5583 1.3163 38.099 2.9307 5.0 1.4838 1635.8 1502.8 1258.06220428 66.1840237349 2098.66558835 2.04928248625 
99.0 36.0 1189.7 8.0812 -6547.5 -18282.0 0.0 22.204 1.8784 1.249 1.0 0.0 0.0 0.0 0.0 0.0 1189.7 0.0 0.0 0.0 
99.0 19.904 1055.0 5.0384 -6796.3 -17202.0 0.0 22.204 1.8161 1.2598 1.8087 1.0 1.0 0.6965 1265.5 705.45 1192.0445 124.23959834 4470.92605887 4.41606617927 
99.0 0.9449 533.45 0.47302 -7676.7 -12939.0 0.0 22.204 1.5583 1.3163 38.099 2.9307 5.0 1.4838 1635.8 1502.8 1258.06220428 62.5067443973 2098.66558835 2.04928248625 
99.0 38.0 1189.7 8.5301 -6547.5 -18258.0 0.0 22.204 1.8784 1.249 1.0 0.0 0.0 0.0 0.0 0.0 1189.7 0.0 0.0 0.0 
99.0 21.01 1055.0 5.3183 -6796.3 -17181.0 0.0 22.204 1.8161 1.2598 1.8087 1.0 1.0 0.6965 1265.5 705.45 1192.0445 117.699427195 4470.92605887 4.41606617927 
99.0 0.99739 533.45 0.4993 -7676.7 -12928.0 0.0 22.204 1.5583 1.3163 38.099 2.9307 5.0 1.4838 1635.8 1502.8 1258.06220428 59.2171796198 2098.66558835 2.04928248625 
99.0 40.0 1189.7 8.9791 -6547.5 -18235.0 0.0 22.204 1.8784 1.249 1.0 0.0 0.0 0.0 0.0 0.0 1189.7 0.0 0.0 0.0 
99.0 22.116 1055.0 5.5982 -6796.3 -17161.0 0.0 22.204 1.8161 1.2598 1.8087 1.0 1.0 0.6965 1265.5 705.45 1192.0445 111.813391452 4470.92605887 4.41606617927 
99.0 1.0499 533.45 0.52558 -7676.7 -12918.0 0.0 22.204 1.5583 1.3163 38.099 2.9307 5.0 1.4838 1635.8 1502.8 1258.06220428 56.2554745986 2098.66558835 2.04928248625 
99.0 42.0 1189.7 9.4281 -6547.5 -18213.0 0.0 22.204 1.8784 1.249 1.0 0.0 0.0 0.0 0.0 0.0 1189.7 0.0 0.0 0.0 
99.0 23.221 1055.0 5.8782 -6796.3 -17141.0 0.0 22.204 1.8161 1.2598 1.8087 1.0 1.0 0.6965 1265.5 705.45 1192.0445 106.492612952 4470.92605887 4.41606617927 
99.0 1.1024 533.45 0.55186 -7676.7 -12908.0 0.0 22.204 1.5583 1.3163 38.099 2.9307 5.0 1.4838 1635.8 1502.8 1258.06220428 53.5763994748 2098.66558835 2.04928248625 
99.0 44.0 1189.7 9.877 -6547.5 -18193.0 0.0 22.204 1.8784 1.249 1.0 0.0 0.0 0.0 0.0 0.0 1189.7 0.0 0.0 0.0 
99.0 24.327 1055.0 6.1581 -6796.3 -17123.0 0.0 22.204 1.8161 1.2598 1.8087 1.0 1.0 0.6965 1265.5 705.45 1192.0445 101.651044739 4470.92605887 4.41606617927 
99.0 1.1549 533.45 0.57814 -7676.7 -12899.0 0.0 22.204 1.5583 1.3163 38.099 2.9307 5.0 1.4838 1635.8 1502.8 1258.06220428 51.1408977236 2098.66558835 2.04928248625 
